Número do processo;Número da licença;Tipo da licença;Situação;Data do protocolo;Data de emissão;Data de vencimento da licença;Texto da licença;Extrato da licença;Órgão responsável;Código da tipologia;Descrição da tipologia;Potencial poluidor;Porte do empreendimento;Nome do empreendedor;CPF/CNPJ do empreendedor;Logradouro do empreendedor;Número do endereço do empreendedor;Distrito do empreendedor;Município do empreendedor;CEP do empreendedor;UF do empreendedor;Nome do empreendimento;Classe do empreendimento;CPF/CNPJ do empreendimento;Logradouro do empreendimento;Número do endereço do empreendimento;Distrito do empreendimento;Município do empreendimento;CEP do empreendimento;UF do empreendimento;Outros municípios;Bacia hidrográfica;Rio;Latitude;Longitude
110028003;11002185;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2003-09-16;2007-10-04;2010-10-04;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.22593400002;"ARTEFATOS DE METAL PARA USO DOMÉSTICO, N.E.; FABRICAÇÃO DE";3;S;;;;;;;;;JOÃO LUIZ BENTO BELLINE EIRELI;;05.664.031/0001-60;RUA  BARÃO DO RIO BRANCO;1603 ;;GARÇA;17400000;SP;;32;;7230000;723000
110066806;11002344;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-01-02;2008-01-28;2010-01-28;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;AÇUCAREIRA QUATÁ S/A;;60.855.574/0013-07;FAZENDA QUATÁ;S/N  ;;QUATÁ;19780000;SP;;31;;7539383;535811
110047306;11002464;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-03-13;2008-07-04;2010-07-04;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;COCAL - COMÉRCIO INDÚSTRIA CANAÃ AÇÚCAR E ÁLCOOL LTDA;;44.373.108/0001-03;PARQUE IND. DR. CAMILO CALAZANS DE MAGALHÃES;S/Nº ;;PARAGUAÇU PAULISTA;19729899;SP;;43;;7508323;448226
110062607;11003112;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2008-03-26;2011-05-23;2013-05-23;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.22099199020;FABRICAÇÃO DE OUTROS PRODUTOS QUÍMICOS NÃO ESPECIFICADOS ANTERIORMENTE;3;S;;;;;;;;;OLEOQUÍMICA BRASIL INDÚSTRIA E COMÉRCIO LTDA EPP;;03.363.551/0001-08;RUA VALTER ALVES DE SOUZA;165  ;;GARÇA;17400000;SP;;31;;7195000;491253
110010110;11003522;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2011-07-15;2012-10-15;2017-10-15;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.24731800004;"COMBUSTÍVEIS E LUBRIFICANTES PARA VEÍCULOS; COMÉRCIO VAREJISTA";;N;;;;;;;;;REDE LK DE POSTOS LTDA.;;01.820.806/0019-18;AVENIDA TABAJARAS;1764 ;;TUPÃ;17604020;SP;;32;;7573818;549632
110028410;11003680;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2012-10-30;2013-05-28;2018-05-28;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.23821100001;"ATERROS SANITÁRIOS; GESTÃO DE";0;N;;;;;;;;;REVITA ENGENHARIA S.A.;;08.623.970/0019-84;RODOVIA VICINAL SPV - 052 QUATÁ/TUPÃ;S/Nº ;;QUATÁ;19780000;SP;;31;;7547539;531148
110008510;11003687;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2012-12-10;2013-06-12;2015-06-12;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21931400013;USINA DE AÇÚCAR E ÁLCOOL;3;N;;;;;;;;;IBÉRIA INDUSTRIAL E COMERCIAL LTDA.;;04.839.268/0002-53;ACESSO USINA IBÉRIA;S/N  ;;BORÁ;19740000;SP;;31;;7548800;553180
110013510;11003633;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2013-01-24;2013-04-15;2017-04-15;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.28610101016;"HOSPITAL; PÚBLICO OU PARTICULAR";3;N;;;;;;;;;IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE MARÍLIA;;52.049.244/0001-62;AVENIDA VICENTE FERREIRA;828  ;;MARÍLIA;17515900;SP;;32;;7569086;597166
110013510;11004880;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2013-01-24;2017-06-13;2021-06-13;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.28610101016;"HOSPITAL; PÚBLICO OU PARTICULAR";3;N;;;;;;;;;IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE MARÍLIA;;52.049.244/0001-62;AVENIDA VICENTE FERREIRA;828  ;;MARÍLIA;17515900;SP;;32;;7569086;597166
120006303;12000526;LICENÇA DE OPERAÇÃO;LO Parcial Emitida;2003-07-22;2004-07-27;2006-07-27;LICENÇA DE OPERAÇÃO;;SP - CETESB;CNAE.21041400039;"ÓLEOS VEGETAIS (EXCETO DE MILHO); EXTRAÇÃO DE";3;N;;;;;;;;;GRANOL INDÚSTRIA COMÉRCIO E EXPORTAÇÃO S/A;;50.290.329/0009-60;RODOVIA ROBERTO ANTÔNIO ROMANINI;S/Nº ;;OSVALDO CRUZ;17700000;SP;;32;;7591445;511445
